                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.67552,                 1.5652,                 0.5349,                0.92839,                0.41379,                0.20163,                0.20963,                0.13665,                0.37426,                0.16138,                0.16084,                0.08347,                 1.3098,                 2.8271,                 1.2261,                 1.1808,               0.009208,               0.009208,               0.009208
                     26,                0.67407,                 1.5579,                0.53484,                0.92828,                0.40438,                 0.2022,                0.21004,                0.13673,                0.36816,                0.16065,                0.16003,                0.08305,                 1.3086,                 2.8226,                 1.2239,                 1.1794,               0.009175,               0.009175,               0.009175
                     27,                0.67207,                 1.5535,                0.53209,                 0.9265,                0.41311,                0.20244,                0.21025,                0.13767,                0.37942,                0.16161,                0.16036,                0.08367,                 1.3065,                 2.8208,                 1.2223,                 1.1804,               0.009142,               0.009142,               0.009142
                     28,                0.66754,                 1.5478,                0.52813,                0.92538,                0.39853,                0.20579,                0.21243,                0.13927,                0.36306,                0.16262,                0.16249,                0.08447,                 1.3046,                 2.8137,                 1.2166,                 1.1798,               0.009109,               0.009109,               0.009109
                     29,                0.66657,                 1.5444,                0.52816,                 0.9254,                0.41039,                0.20667,                0.21173,                0.13824,                0.36565,                0.16375,                0.16143,                0.08429,                 1.3022,                 2.8125,                 1.2162,                 1.1772,               0.009076,               0.009076,               0.009076
                     30,                0.66288,                  1.535,                0.52476,                 0.9237,                0.41562,                0.20669,                0.21347,                0.13979,                0.40978,                0.16151,                0.16394,                0.08555,                 1.2993,                 2.8101,                 1.2152,                 1.1754,               0.009043,               0.009043,               0.009043
                     31,                0.66093,                 1.5316,                0.52281,                0.92326,                0.39702,                0.20697,                0.21408,                0.13971,                0.38134,                0.16329,                0.16305,                0.08523,                 1.3004,                 2.8077,                 1.2117,                 1.1757,                0.00901,                0.00901,                0.00901
                     32,                0.65995,                 1.5314,                0.52166,                0.92213,                0.42103,                0.20899,                0.21386,                0.13984,                0.38039,                0.16375,                0.16332,                0.08505,                 1.2973,                 2.8058,                 1.2101,                 1.1732,               0.008977,               0.008977,               0.008977
                     33,                 0.6567,                  1.524,                 0.5199,                0.92127,                0.42229,                0.20829,                0.21475,                0.14072,                0.38492,                 0.1639,                0.16446,                0.08556,                 1.2959,                 2.8018,                 1.2074,                 1.1722,               0.008944,               0.008944,               0.008944
                     34,                0.65615,                  1.524,                0.51876,                 0.9215,                0.41707,                0.21033,                0.21548,                0.14087,                0.38594,                0.16659,                0.16461,                0.08571,                 1.2926,                 2.7959,                  1.205,                 1.1706,               0.008911,               0.008911,               0.008911
