                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98767,                 1.7139,                0.76133,                 1.0539,                0.75811,                0.61765,                0.68632,                0.42879,                0.75785,                0.61444,                0.67628,                0.35052,                  1.191,                 2.0821,                 1.0062,                 1.1872,              0.0009241,              0.0009241,              0.0009241
                     25,                0.98166,                  1.707,                0.75122,                 1.0527,                0.74138,                0.63061,                0.68384,                0.42949,                 0.7495,                0.61492,                0.67232,                 0.3504,                 1.1949,                 2.0835,                 1.0028,                 1.1917,              0.0009208,              0.0009208,              0.0009208
                     26,                0.97691,                 1.6883,                0.73733,                  1.047,                0.72961,                0.64406,                0.69003,                0.42987,                0.72637,                0.63885,                0.67769,                0.35038,                 1.1902,                 2.0861,                 1.0001,                 1.1839,              0.0009175,              0.0009175,              0.0009175
                     27,                 0.9646,                 1.6719,                0.72128,                 1.0381,                0.73798,                0.63354,                0.69113,                0.43228,                0.73492,                 0.6258,                0.67624,                0.35418,                 1.1869,                 2.0843,                0.99846,                 1.1789,              0.0009142,              0.0009142,              0.0009142
                     28,                0.96269,                 1.6599,                0.71425,                 1.0404,                0.73761,                0.63491,                0.68774,                0.43017,                0.74629,                0.62425,                0.67469,                0.35007,                 1.1915,                 2.0805,                0.99106,                 1.1863,              0.0009109,              0.0009109,              0.0009109
                     29,                0.95556,                 1.6499,                0.70056,                 1.0357,                0.74527,                0.63963,                0.69268,                0.43562,                0.74794,                0.62318,                0.67728,                 0.3562,                 1.1878,                 2.0888,                0.99201,                 1.1863,              0.0009076,              0.0009076,              0.0009076
                     30,                0.94915,                 1.6421,                0.69009,                 1.0285,                0.75956,                0.63465,                0.69791,                0.43906,                0.75102,                0.63087,                 0.6844,                0.35868,                 1.1914,                 2.0868,                0.97283,                 1.1918,              0.0009043,              0.0009043,              0.0009043
                     31,                 0.9421,                 1.6302,                0.68295,                 1.0262,                0.75659,                0.63748,                0.69892,                0.43674,                0.75157,                 0.6364,                0.68635,                0.35778,                 1.1917,                 2.0848,                0.98474,                 1.1934,               0.000901,               0.000901,               0.000901
                     32,                0.93242,                 1.6096,                0.66978,                 1.0205,                0.73972,                0.64511,                  0.702,                0.43672,                0.74425,                0.63282,                0.68823,                0.36055,                 1.1954,                 2.0911,                0.96898,                 1.1903,              0.0008977,              0.0008977,              0.0008977
                     33,                0.92797,                 1.6075,                0.66121,                 1.0177,                0.74004,                0.64359,                0.69798,                0.43585,                0.73985,                0.63299,                0.68527,                0.35992,                 1.2002,                 2.0905,                0.97449,                 1.2031,              0.0008944,              0.0008944,              0.0008944
                     34,                0.92203,                 1.5876,                0.65158,                 1.0151,                0.74419,                0.63707,                0.69955,                 0.4367,                0.74532,                0.63099,                 0.6875,                0.35946,                 1.1946,                 2.0888,                0.97267,                 1.1958,              0.0008911,              0.0008911,              0.0008911
                     35,                0.91636,                 1.5804,                0.64455,                 1.0131,                0.73857,                0.64617,                0.69839,                0.43798,                0.74442,                0.63238,                0.68496,                0.36011,                 1.1945,                 2.0963,                0.97335,                 1.1971,              0.0008878,              0.0008878,              0.0008878
                     36,                 0.9128,                 1.5726,                0.63803,                 1.0089,                0.76698,                0.63682,                0.70188,                0.44016,                0.75758,                0.62841,                0.68636,                0.36124,                 1.1923,                 2.1087,                0.96534,                  1.198,              0.0008845,              0.0008845,              0.0008845
                     37,                0.90481,                 1.5567,                0.62693,                 1.0065,                0.74708,                0.65095,                0.70248,                0.43988,                0.74514,                0.64043,                0.68584,                0.36121,                 1.1929,                 2.0955,                0.96143,                 1.2007,              0.0008812,              0.0008812,              0.0008812
                     38,                0.89953,                 1.5492,                0.62322,                 1.0039,                0.74433,                0.64944,                0.70048,                0.44159,                0.75107,                0.63447,                0.68367,                0.36205,                 1.1858,                 2.1036,                0.95696,                 1.1966,              0.0008779,              0.0008779,              0.0008779
                     39,                0.89539,                 1.5393,                0.61299,                0.99823,                0.75351,                0.65055,                0.70374,                0.44308,                0.74617,                0.64313,                0.69037,                0.36394,                 1.1908,                 2.1016,                0.95978,                 1.1895,              0.0008746,              0.0008746,              0.0008746
                     40,                0.89148,                 1.5293,                0.61178,                0.99646,                0.74426,                0.64521,                0.70139,                0.43926,                0.73943,                0.63454,                0.68792,                0.36076,                 1.1962,                 2.1071,                0.96589,                 1.2004,              0.0008713,              0.0008713,              0.0008713
