                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1258,                 2.5337,                 1.0532,                 1.1431,                0.40372,                0.25691,                0.26157,                0.17203,                0.37809,                0.20324,                0.20193,                0.10598,                  1.206,                 2.5678,                 1.1063,                 1.1345,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1237,                 2.5211,                 1.0477,                 1.1416,                0.43617,                0.25486,                0.26095,                 0.1719,                0.38967,                0.20392,                0.20078,                 0.1044,                 1.2032,                  2.562,                  1.103,                 1.1304,               0.008812,               0.008812,               0.008812
                     26,                  1.118,                 2.5146,                 1.0404,                 1.1396,                0.41892,                0.25441,                0.26128,                0.17242,                0.36476,                0.20473,                0.20059,                0.10526,                 1.2007,                 2.5581,                 1.0989,                 1.1302,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1152,                 2.5095,                 1.0375,                 1.1382,                 0.4524,                0.25183,                0.26249,                0.17373,                0.41537,                0.19895,                0.20238,                0.10622,                 1.1979,                  2.548,                 1.0959,                 1.1281,               0.008713,               0.008713,               0.008713
                     28,                  1.112,                 2.5009,                 1.0305,                 1.1358,                0.40795,                0.26132,                0.26442,                0.17533,                 0.3789,                0.20708,                0.20428,                0.10649,                 1.1959,                 2.5473,                 1.0913,                 1.1271,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1091,                 2.4998,                 1.0274,                  1.134,                0.43982,                0.25289,                0.26571,                0.17567,                0.39552,                0.20223,                0.20536,                0.10803,                 1.1936,                  2.543,                 1.0885,                 1.1263,               0.008614,               0.008614,               0.008614
                     30,                 1.1086,                 2.4931,                 1.0215,                  1.132,                0.42528,                0.25719,                0.26607,                0.17523,                0.39981,                0.20397,                0.20638,                0.10818,                 1.1926,                 2.5393,                 1.0837,                 1.1241,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1058,                  2.487,                 1.0182,                  1.131,                0.43007,                0.25604,                0.26514,                0.17503,                0.39523,                0.20179,                0.20382,                0.10776,                 1.1877,                 2.5331,                 1.0787,                 1.1233,               0.008515,               0.008515,               0.008515
                     32,                 1.1012,                 2.4744,                 1.0124,                  1.129,                0.43238,                0.25811,                0.26649,                0.17659,                0.39775,                0.20631,                0.20574,                 0.1077,                 1.1867,                 2.5304,                 1.0767,                 1.1216,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0982,                 2.4728,                  1.009,                 1.1286,                0.44492,                0.25844,                0.26828,                0.17821,                0.39761,                  0.208,                0.20775,                 0.1094,                 1.1837,                 2.5252,                  1.077,                 1.1209,               0.008416,               0.008416,               0.008416
                     34,                 1.0957,                 2.4639,                 1.0039,                 1.1259,                0.41971,                0.26356,                0.27141,                0.17975,                0.42285,                0.20447,                0.21134,                0.11071,                  1.184,                 2.5254,                 1.0713,                 1.1223,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0959,                 2.4585,                 1.0011,                 1.1263,                0.43446,                0.25996,                0.27219,                0.18114,                0.40826,                0.20705,                0.21136,                0.11112,                 1.1804,                 2.5185,                 1.0694,                 1.1197,               0.008317,               0.008317,               0.008317
                     36,                 1.0926,                 2.4517,                0.99691,                 1.1234,                0.43594,                0.26656,                0.27373,                0.18211,                0.39841,                0.21259,                0.21193,                0.11152,                 1.1798,                 2.5174,                  1.069,                 1.1199,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0875,                 2.4475,                0.99028,                 1.1216,                0.43602,                0.26448,                0.27356,                0.18095,                 0.4072,                0.20958,                 0.2119,                0.11135,                 1.1783,                 2.5161,                 1.0648,                 1.1197,               0.008218,               0.008218,               0.008218
                     38,                 1.0882,                 2.4427,                0.99119,                 1.1227,                0.44037,                 0.2671,                0.27606,                0.18307,                0.41836,                0.20885,                0.21359,                0.11243,                 1.1733,                 2.5135,                 1.0632,                 1.1179,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0828,                 2.4329,                0.98253,                 1.1187,                0.43183,                0.26662,                  0.274,                0.18152,                0.39747,                 0.2107,                0.21045,                0.11153,                 1.1746,                 2.5099,                 1.0626,                 1.1177,               0.008119,               0.008119,               0.008119
                     40,                 1.0842,                  2.433,                0.98193,                 1.1176,                0.43298,                0.26875,                0.27796,                0.18417,                0.37965,                0.21853,                0.21421,                0.11266,                 1.1745,                 2.5105,                 1.0609,                 1.1174,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0807,                  2.426,                0.97715,                 1.1164,                0.45748,                0.26407,                0.27878,                0.18523,                0.41303,                0.21048,                 0.2149,                0.11339,                  1.173,                 2.5087,                 1.0587,                  1.117,                0.00802,                0.00802,                0.00802
                     42,                 1.0801,                 2.4234,                0.97411,                 1.1163,                0.43553,                0.27225,                0.27944,                0.18538,                0.38676,                0.21804,                0.21579,                0.11348,                 1.1709,                 2.5037,                 1.0547,                 1.1162,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0774,                 2.4156,                 0.9721,                 1.1151,                0.43396,                0.26932,                0.27786,                0.18459,                0.40903,                 0.2113,                0.21419,                0.11272,                 1.1713,                 2.5042,                 1.0537,                 1.1165,               0.007921,               0.007921,               0.007921
                     44,                 1.0746,                 2.4132,                0.96531,                 1.1132,                0.44206,                0.26863,                0.27793,                0.18504,                0.39353,                0.21715,                0.21508,                0.11341,                 1.1694,                 2.5048,                  1.052,                 1.1165,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0746,                 2.4115,                0.96515,                 1.1129,                0.45219,                0.26674,                0.27964,                 0.1851,                0.41576,                0.21219,                0.21628,                 0.1142,                 1.1683,                 2.5019,                 1.0514,                 1.1164,               0.007822,               0.007822,               0.007822
                     46,                 1.0727,                 2.4077,                0.96421,                 1.1117,                 0.4286,                0.27378,                0.27959,                0.18549,                0.39719,                0.21787,                0.21677,                0.11393,                 1.1676,                 2.5006,                 1.0509,                 1.1149,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.069,                 2.3953,                 0.9586,                 1.1099,                0.43874,                0.27213,                0.28158,                0.18594,                0.40562,                 0.2167,                0.21673,                0.11429,                 1.1656,                 2.4989,                 1.0504,                 1.1144,               0.007723,               0.007723,               0.007723
                     48,                 1.0673,                 2.3944,                0.95589,                 1.1086,                0.45194,                0.27292,                0.28128,                0.18623,                0.39895,                0.22131,                0.21829,                0.11413,                 1.1652,                 2.4983,                 1.0487,                 1.1138,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0672,                 2.3891,                0.95103,                  1.108,                0.45533,                 0.2677,                0.28142,                0.18602,                0.40524,                0.21817,                0.21777,                0.11424,                 1.1657,                 2.4976,                 1.0482,                  1.114,               0.007624,               0.007624,               0.007624
                     50,                 1.0654,                 2.3828,                0.94993,                 1.1069,                0.42639,                0.27626,                0.28171,                0.18629,                0.40155,                0.21759,                0.21854,                0.11399,                 1.1648,                 2.4958,                  1.048,                 1.1136,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0621,                 2.3786,                0.94318,                 1.1048,                0.43376,                0.27519,                0.28189,                  0.187,                0.39814,                 0.2188,                0.21818,                0.11434,                 1.1652,                 2.4957,                 1.0462,                 1.1143,               0.007525,               0.007525,               0.007525
                     52,                 1.0607,                 2.3762,                0.93978,                 1.1039,                0.43996,                0.27417,                0.28322,                0.18711,                0.41569,                 0.2157,                0.21961,                0.11477,                 1.1652,                 2.4955,                 1.0452,                  1.114,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0584,                 2.3719,                0.93859,                 1.1027,                 0.4473,                0.27205,                0.28306,                0.18714,                 0.3922,                0.22312,                 0.2201,                0.11443,                 1.1644,                 2.4945,                 1.0461,                 1.1142,               0.007426,               0.007426,               0.007426
                     54,                 1.0583,                 2.3687,                0.93661,                 1.1039,                 0.4292,                0.27528,                0.28223,                0.18693,                0.39511,                0.22077,                0.21986,                0.11453,                 1.1637,                 2.4941,                 1.0453,                 1.1138,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0572,                 2.3644,                0.93431,                 1.1014,                0.42731,                0.27518,                0.28178,                0.18644,                 0.4103,                0.21831,                0.21943,                0.11388,                 1.1625,                 2.4939,                  1.044,                 1.1137,               0.007327,               0.007327,               0.007327
                     56,                 1.0552,                 2.3623,                0.93066,                 1.1018,                0.43008,                0.27499,                 0.2815,                0.18613,                0.39166,                0.22089,                0.21897,                0.11384,                 1.1627,                 2.4953,                  1.043,                 1.1138,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0537,                 2.3573,                0.92725,                 1.1001,                0.42681,                 0.2752,                0.28221,                0.18646,                0.39725,                0.21972,                0.21865,                0.11408,                 1.1624,                 2.4945,                 1.0427,                 1.1144,               0.007228,               0.007228,               0.007228
                     58,                 1.0505,                  2.353,                0.92379,                  1.099,                0.44207,                0.27133,                0.28268,                0.18642,                0.40677,                0.21941,                0.21887,                 0.1142,                 1.1623,                 2.4945,                 1.0426,                 1.1151,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0476,                 2.3435,                0.91937,                 1.0962,                0.45027,                0.27078,                0.28354,                0.18712,                0.41344,                0.21777,                0.21947,                0.11474,                 1.1621,                 2.4944,                  1.042,                  1.115,               0.007129,               0.007129,               0.007129
