                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2154,                   2.54,                 1.0391,                 1.1165,                0.47127,                 0.2562,                0.27595,                0.17353,                0.44759,                0.20464,                0.21319,                0.09844,                 1.2157,                 2.5701,                  1.043,                 1.1096,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.2133,                 2.5305,                 1.0341,                 1.1161,                0.48075,                0.25746,                0.27755,                  0.175,                0.44296,                0.20749,                0.21461,                0.09951,                 1.2147,                 2.5688,                 1.0402,                 1.1077,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.2104,                 2.5256,                 1.0308,                 1.1145,                0.46295,                0.25726,                0.27733,                0.17384,                 0.4404,                0.20586,                0.21381,                0.09853,                 1.2142,                  2.564,                 1.0389,                 1.1086,                0.00167,                0.00167,                0.00167
                     27,                 1.2091,                 2.5187,                 1.0254,                 1.1118,                0.47684,                0.25645,                0.27911,                0.17625,                0.47248,                0.20739,                0.21654,                0.10021,                 1.2134,                 2.5653,                 1.0374,                 1.1073,              0.0016568,              0.0016568,              0.0016568
                     28,                  1.207,                 2.5164,                 1.0219,                  1.111,                0.46927,                0.26171,                0.28044,                0.17656,                0.41482,                0.21086,                0.21535,                0.09989,                 1.2106,                 2.5593,                 1.0337,                 1.1055,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.2037,                 2.5114,                 1.0189,                 1.1093,                0.49111,                0.25818,                0.28107,                0.17728,                0.43477,                0.21108,                0.21772,                0.10065,                 1.2098,                 2.5602,                 1.0327,                 1.1038,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.2002,                 2.5061,                 1.0128,                 1.1074,                0.47969,                0.26252,                0.28214,                0.17741,                 0.4495,                0.20721,                 0.2191,                0.10091,                 1.2086,                 2.5551,                 1.0302,                 1.1039,              0.0016172,              0.0016172,              0.0016172
                     31,                  1.199,                 2.5034,                 1.0107,                 1.1064,                0.47024,                0.26334,                0.28373,                0.17831,                0.44379,                0.21132,                0.21995,                 0.1011,                 1.2098,                 2.5537,                 1.0296,                 1.1047,               0.001604,               0.001604,               0.001604
                     32,                 1.1979,                 2.4995,                 1.0092,                 1.1069,                 0.4886,                 0.2615,                0.28389,                0.17852,                0.45358,                0.20965,                0.22143,                0.10184,                  1.207,                 2.5522,                  1.029,                 1.1045,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.1946,                 2.4902,                 1.0038,                 1.1048,                0.47241,                0.26386,                0.28441,                0.17898,                0.42552,                0.21276,                0.22094,                0.10158,                 1.2067,                 2.5502,                 1.0253,                 1.1036,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.1936,                 2.4892,                 1.0014,                 1.1032,                0.46295,                0.26552,                0.28391,                0.17894,                 0.4444,                 0.2101,                0.22064,                 0.1015,                 1.2074,                 2.5484,                 1.0263,                  1.104,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.1896,                 2.4816,                0.99484,                 1.1012,                0.45974,                0.26287,                0.28422,                0.17894,                0.42478,                0.21098,                0.22176,                0.10194,                 1.2061,                  2.546,                 1.0243,                 1.1037,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.1881,                 2.4804,                0.99379,                 1.1006,                0.47954,                0.25883,                0.28388,                0.17889,                0.42671,                0.21225,                0.22095,                0.10178,                 1.2054,                 2.5458,                  1.023,                  1.102,               0.001538,               0.001538,               0.001538
                     37,                 1.1848,                 2.4737,                0.98926,                 1.0985,                0.47316,                0.26293,                0.28382,                0.17862,                0.43893,                0.21111,                0.22136,                0.10208,                 1.2051,                 2.5447,                 1.0219,                 1.1029,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.1836,                 2.4704,                0.98586,                 1.0978,                0.47528,                0.26366,                0.28551,                0.17969,                0.43954,                0.21221,                0.22147,                0.10227,                 1.2044,                 2.5428,                 1.0208,                 1.1023,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.1822,                 2.4679,                0.98159,                  1.096,                 0.4779,                0.26365,                  0.285,                0.17961,                0.43442,                0.21347,                0.22216,                0.10184,                 1.2039,                  2.541,                 1.0205,                 1.1018,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.1816,                 2.4651,                0.98132,                 1.0951,                0.47489,                0.26592,                0.28618,                0.18028,                0.44136,                0.21076,                 0.2232,                0.10237,                 1.2036,                 2.5408,                 1.0203,                 1.1014,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.1786,                 2.4604,                0.97823,                 1.0948,                0.47698,                 0.2661,                0.28632,                0.18051,                0.42969,                0.21333,                0.22325,                 0.1029,                 1.2038,                   2.54,                 1.0189,                 1.1015,               0.001472,               0.001472,               0.001472
                     42,                 1.1768,                 2.4571,                0.97514,                  1.094,                0.47218,                0.26509,                0.28566,                0.18052,                0.43129,                0.21434,                0.22272,                0.10271,                 1.2038,                 2.5401,                 1.0175,                 1.1018,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.1746,                 2.4499,                0.97131,                 1.0923,                0.47436,                0.26411,                0.28645,                  0.181,                0.43823,                0.21356,                0.22334,                0.10284,                 1.2032,                 2.5389,                 1.0164,                 1.1017,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.1736,                 2.4514,                0.96928,                 1.0918,                0.47837,                0.26543,                0.28651,                0.18085,                0.43776,                0.21313,                0.22301,                0.10277,                 1.2021,                 2.5382,                 1.0153,                 1.1013,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.1721,                 2.4484,                0.96658,                 1.0911,                0.48841,                0.26505,                0.28753,                0.18142,                0.44027,                0.21658,                0.22409,                0.10321,                  1.201,                 2.5374,                 1.0143,                 1.1008,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.1698,                 2.4433,                0.96359,                  1.089,                0.48233,                0.26643,                 0.2876,                0.18152,                0.43744,                0.21584,                0.22442,                0.10302,                 1.2008,                 2.5362,                 1.0146,                 1.1005,               0.001406,               0.001406,               0.001406
                     47,                 1.1679,                  2.439,                0.96033,                 1.0878,                0.49732,                0.26323,                0.28805,                 0.1819,                0.44222,                0.21634,                0.22479,                0.10313,                 1.2011,                 2.5358,                 1.0148,                 1.1004,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.1663,                 2.4333,                0.95838,                 1.0875,                0.50132,                 0.2627,                0.28789,                 0.1822,                0.44447,                0.21724,                0.22532,                0.10313,                 1.2006,                 2.5357,                 1.0147,                 1.1003,              0.0013796,              0.0013796,              0.0013796
                     49,                  1.165,                 2.4302,                0.95563,                 1.0867,                0.49489,                0.26484,                0.28836,                0.18242,                 0.4466,                0.21679,                0.22535,                0.10332,                 1.2005,                  2.535,                 1.0139,                 1.1003,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.1624,                 2.4264,                0.95151,                 1.0852,                 0.4961,                0.26463,                0.28848,                0.18214,                0.44192,                0.21656,                0.22531,                 0.1034,                    1.2,                 2.5342,                 1.0137,                 1.1002,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.1618,                 2.4244,                0.94897,                 1.0838,                0.48716,                0.26671,                0.28918,                0.18234,                 0.4366,                0.21825,                0.22527,                0.10338,                 1.1997,                 2.5337,                 1.0131,                 1.1002,                0.00134,                0.00134,                0.00134
                     52,                 1.1602,                 2.4215,                0.94778,                 1.0836,                0.48342,                 0.2667,                0.28872,                0.18218,                0.42839,                0.21923,                0.22463,                0.10318,                 1.1998,                 2.5325,                 1.0128,                 1.1003,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.1586,                 2.4213,                0.94515,                 1.0827,                0.47681,                0.26798,                0.28973,                0.18303,                0.42976,                0.21806,                0.22619,                0.10367,                 1.2001,                  2.532,                 1.0121,                 1.1002,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.1566,                 2.4169,                0.94241,                 1.0815,                0.48149,                0.26684,                0.28967,                0.18326,                 0.4189,                0.21895,                0.22535,                0.10353,                 1.1996,                 2.5317,                 1.0119,                    1.1,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.1555,                 2.4149,                0.93914,                 1.0804,                0.48198,                 0.2679,                0.28967,                0.18319,                0.41685,                0.21991,                0.22519,                0.10351,                 1.1993,                 2.5318,                 1.0118,                 1.0999,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.1533,                 2.4105,                0.93605,                 1.0796,                0.48363,                0.26802,                 0.2897,                0.18353,                0.42066,                0.21963,                0.22514,                0.10365,                 1.1993,                 2.5312,                 1.0115,                    1.1,               0.001274,               0.001274,               0.001274
                     57,                 1.1521,                 2.4113,                0.93477,                 1.0789,                0.48916,                0.26722,                0.28986,                0.18383,                0.42898,                 0.2201,                0.22606,                0.10381,                 1.1994,                 2.5307,                 1.0114,                 1.1001,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.1507,                 2.4059,                0.93135,                 1.0775,                0.48631,                0.26938,                 0.2901,                0.18394,                0.43354,                0.21942,                0.22613,                0.10382,                 1.1992,                 2.5308,                 1.0109,                    1.1,              0.0012476,              0.0012476,              0.0012476
                     59,                  1.149,                 2.4033,                0.92996,                 1.0772,                0.48532,                0.26882,                0.29031,                0.18418,                0.42787,                0.22159,                0.22631,                0.10396,                 1.1988,                 2.5305,                 1.0109,                    1.1,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.1487,                 2.3977,                0.92854,                 1.0765,                0.49059,                0.26781,                0.29009,                0.18378,                0.43163,                0.22152,                0.22641,                0.10398,                 1.1988,                 2.5302,                 1.0107,                    1.1,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.1468,                 2.3946,                0.92624,                 1.0756,                0.48645,                0.26853,                0.28991,                 0.1837,                0.44503,                0.21798,                0.22652,                0.10399,                 1.1988,                 2.5301,                 1.0106,                 1.0999,               0.001208,               0.001208,               0.001208
                     62,                 1.1443,                 2.3911,                0.92343,                 1.0746,                0.48772,                 0.2683,                0.29026,                0.18381,                 0.4358,                0.22025,                0.22691,                0.10403,                 1.1988,                 2.5302,                 1.0106,                    1.1,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.1444,                  2.391,                0.92125,                 1.0738,                 0.4888,                0.26899,                0.29038,                0.18362,                0.43949,                0.21954,                0.22673,                0.10391,                 1.1988,                 2.5299,                 1.0107,                 1.1001,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.1422,                 2.3878,                0.91888,                 1.0725,                0.48819,                0.26909,                0.29045,                 0.1838,                0.43804,                0.22025,                0.22658,                0.10401,                 1.1986,                 2.5301,                 1.0105,                 1.1001,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.1409,                 2.3848,                0.91709,                 1.0721,                0.48373,                0.26957,                0.29043,                0.18387,                0.43769,                0.21892,                0.22583,                0.10411,                 1.1986,                 2.5293,                 1.0105,                    1.1,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.1398,                  2.379,                0.91415,                 1.0708,                 0.4845,                0.26994,                0.29077,                0.18422,                0.43787,                0.21987,                0.22618,                0.10411,                 1.1987,                 2.5296,                 1.0102,                 1.1001,               0.001142,               0.001142,               0.001142
                     67,                 1.1372,                 2.3797,                 0.9116,                 1.0702,                0.48437,                0.26992,                0.29056,                0.18418,                0.43587,                0.22086,                 0.2262,                0.10405,                 1.1987,                 2.5293,                 1.0103,                 1.1001,              0.0011288,              0.0011288,              0.0011288
                     68,                  1.138,                 2.3792,                0.91124,                 1.0698,                0.48593,                0.26956,                0.29066,                0.18405,                0.43526,                0.22123,                 0.2264,                  0.104,                 1.1986,                 2.5296,                 1.0102,                 1.1001,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.1356,                  2.373,                0.90782,                 1.0687,                0.48622,                0.27003,                0.29079,                0.18396,                0.43464,                0.22112,                0.22635,                0.10391,                 1.1987,                   2.53,                 1.0103,                 1.1002,              0.0011024,              0.0011024,              0.0011024
                     70,                  1.133,                 2.3705,                0.90503,                 1.0663,                0.48795,                0.26969,                0.29086,                0.18415,                0.44083,                0.22112,                0.22701,                0.10411,                 1.1987,                   2.53,                 1.0104,                 1.1002,              0.0010892,              0.0010892,              0.0010892
