                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8036,                 3.2983,                 3.8186,                 1.7975,                0.41987,                0.17849,                0.13692,                0.06789,                0.42039,                0.17863,                0.13455,                 0.0586,                 1.7594,                  2.995,                 2.4601,                  1.677,               0.066797,             6.6539e-05,             6.6539e-05
                      2,                 1.6531,                 2.8702,                 2.4991,                   1.57,                0.40664,                0.31696,                0.27957,                 0.1474,                0.40198,                0.30755,                0.26765,                0.11903,                 1.6553,                 2.7591,                  1.947,                 1.5215,                0.03353,             0.00013277,             0.00013277
                      3,                 1.5687,                 2.7132,                 2.1009,                  1.471,                0.50105,                0.36217,                0.35948,                 0.1954,                0.49111,                0.35798,                0.34491,                0.15643,                 1.5772,                  2.626,                 1.7469,                 1.4425,             0.00026253,             0.00019855,             0.00019855
                      4,                  1.504,                 2.6003,                 1.9066,                 1.4117,                0.54869,                0.39895,                0.40821,                0.22825,                0.53876,                0.39473,                0.39494,                0.18032,                  1.508,                 2.5358,                  1.647,                 1.3935,             0.00019802,             0.00019802,             0.00019802
                      5,                 1.4516,                 2.5262,                  1.791,                 1.3708,                0.60035,                0.40831,                0.44251,                0.25125,                0.59993,                0.40073,                0.43125,                0.19935,                 1.4587,                 2.4748,                 1.5732,                 1.3536,             0.00019736,             0.00019736,             0.00019736
                      6,                 1.4149,                 2.4703,                 1.7091,                 1.3421,                0.57321,                0.43176,                0.46199,                0.26509,                0.56592,                0.42576,                0.45237,                0.21146,                 1.4346,                 2.4374,                 1.5323,                 1.3331,              0.0001967,              0.0001967,              0.0001967
                      7,                 1.3905,                  2.422,                 1.6367,                 1.3205,                0.57246,                0.44968,                0.47837,                0.27771,                0.58066,                 0.4556,                0.46974,                0.22273,                  1.403,                 2.3968,                 1.4871,                 1.3121,             0.00019604,             0.00019604,             0.00019604
                      8,                 1.3657,                 2.3923,                 1.5813,                 1.3048,                 0.5762,                0.46335,                0.49309,                0.28815,                0.58724,                0.45767,                0.48334,                0.23002,                 1.3852,                 2.3754,                 1.4524,                 1.3028,             0.00019538,             0.00019538,             0.00019538
                      9,                 1.3464,                 2.3673,                 1.5369,                 1.2888,                0.60314,                0.46578,                0.50621,                0.29526,                0.60249,                0.46423,                0.49462,                0.23696,                 1.3755,                 2.3488,                 1.4233,                 1.2958,             0.00019472,             0.00019472,             0.00019472
                     10,                 1.3296,                 2.3435,                 1.4903,                 1.2779,                0.61598,                0.47559,                0.51912,                0.30642,                0.58993,                0.47682,                0.50614,                0.24443,                 1.3569,                 2.3265,                 1.3843,                 1.2825,             0.00019406,             0.00019406,             0.00019406
