                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.442,                 2.5131,                   1.42,                 1.4361,                 0.5809,                0.44847,                0.48468,                0.26618,                  0.587,                0.43316,                0.46835,                0.21549,                 1.4999,                 2.5997,                 1.5438,                 1.4525,               0.009241,               0.009241,               0.009241
                     25,                 1.4358,                 2.5119,                 1.4135,                 1.4342,                0.59592,                0.46361,                0.49348,                0.26615,                0.59082,                0.45267,                0.47516,                 0.2166,                 1.5039,                 2.5938,                 1.5391,                 1.4545,               0.009208,               0.009208,               0.009208
                     26,                 1.4361,                 2.4998,                  1.401,                 1.4292,                0.57717,                0.46669,                0.49353,                0.26792,                0.56565,                0.45509,                 0.4755,                0.21385,                 1.5048,                 2.5999,                 1.5439,                 1.4501,               0.009175,               0.009175,               0.009175
                     27,                 1.4347,                  2.499,                 1.3896,                 1.4316,                0.60077,                0.46976,                0.50045,                0.27474,                0.59557,                0.45234,                0.47764,                0.21934,                  1.493,                 2.5947,                 1.5365,                 1.4445,               0.009142,               0.009142,               0.009142
                     28,                 1.4307,                 2.4875,                 1.3881,                 1.4298,                0.59876,                 0.4715,                0.50337,                0.27283,                0.59385,                 0.4561,                 0.4823,                0.21773,                 1.4915,                 2.5891,                 1.5343,                 1.4461,               0.009109,               0.009109,               0.009109
                     29,                 1.4254,                 2.4823,                 1.3745,                 1.4243,                0.61879,                 0.4682,                0.50106,                0.27281,                0.61534,                0.45811,                0.48394,                0.21931,                 1.4924,                 2.5947,                 1.5373,                 1.4412,               0.009076,               0.009076,               0.009076
                     30,                 1.4276,                 2.4788,                 1.3642,                 1.4231,                0.59035,                0.47261,                0.49608,                0.27337,                0.59782,                0.45574,                0.48206,                 0.2205,                 1.4857,                 2.5856,                 1.5204,                 1.4451,               0.009043,               0.009043,               0.009043
                     31,                 1.4248,                 2.4767,                 1.3603,                  1.423,                0.59775,                0.46905,                0.49762,                0.27158,                0.59541,                0.45454,                0.47937,                0.21721,                 1.4829,                 2.5745,                 1.5235,                 1.4402,                0.00901,                0.00901,                0.00901
                     32,                 1.4237,                 2.4693,                 1.3513,                 1.4216,                0.58647,                 0.4824,                0.50473,                0.27431,                0.58122,                0.46733,                0.48733,                 0.2218,                 1.4872,                 2.5779,                 1.5118,                  1.438,               0.008977,               0.008977,               0.008977
                     33,                 1.4193,                 2.4662,                 1.3404,                 1.4174,                0.60406,                0.46761,                0.50478,                0.27488,                0.60903,                0.44849,                0.48295,                0.22088,                  1.485,                 2.5732,                 1.5143,                 1.4387,               0.008944,               0.008944,               0.008944
